brand,description,image_urls,name,product_id,skus,url
Simone Perele,"Simone Perele ""Saga Tattoo"" lace-embroidered boyshorts. Low rise sits across hips. Contrast solid waistband. Scalloped leg openings. Allover tulle back for seamless look under clothing. Moderate seat coverage. Nylon/polyester/spandex/cotton. Imported. Model's measurements: Height 5'10""/177cm, bust 32""/81cm, waist 24.5""/62cm, hips 36""/91cm, dress size US 2/4.","https://images.neimanmarcus.com/ca/1/product_assets/I/2/0/3/M/NMI203M_mu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/I/2/0/3/M/NMI203M_au.jpg",Saga Tattoo Lace Boyshorts,prod233890082,"{'sku189430398': {'price': '34.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'RUBY', 'size': 'Large'}, 'sku189430399': {'price': '34.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'RUBY', 'size': 'Large'}, 'sku189430400': {'price': '34.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'RUBY', 'size': 'Large'}, 'sku189430401': {'price': '34.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'RUBY', 'size': 'Large'}}",https://www.neimanmarcus.com/p/simone-perele-saga-tattoo-lace-boyshorts-prod233890082
Johnny Was,"Johnny Was ""Mizumi"" reversible bomber jacket in floral prints with striped trim. Baseball collar; zipper front. Long sleeves. Side slip pockets. Relaxed silhouette. Cupro/rayon. Machine wash. Imported. Model is 5'10""/177cm and wearing size S. Please note: This merchandise may have a distressed effect. It is a unique feature that enhances the product and is not considered a defect.","https://images.neimanmarcus.com/ca/1/product_assets/T/0/L/U/8/NMT0LU8_au.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/0/L/U/8/NMT0LU8_bu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/0/L/U/8/NMT0LU8_mu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/0/L/U/8/NMT0LU8_cu.jpg",Mizumi Reversible Bomber Jacket,prod229790038,"{'sku192830077': {'price': '575.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'MULTI', 'size': 'X-Small'}, 'sku192830079': {'price': '575.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'MULTI', 'size': 'X-Small'}, 'sku192830081': {'price': '575.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'MULTI', 'size': 'X-Small'}, 'sku192830082': {'price': '575.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'MULTI', 'size': 'X-Small'}, 'sku192830083': {'price': '575.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'MULTI', 'size': 'X-Small'}, 'sku192830085': {'price': '575.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'MULTI', 'size': 'X-Small'}}",https://www.neimanmarcus.com/p/mizumi-bomber-prod229790038
Wacoal,"Wacoal ""Net Effect"" contour T-shirt bra with engineered flat edge jacquard wing. Tailored neckline and smooth finish lie flat under clothing. Stretch-foam contour cups with underwire for support. Ideal for larger cup sizes, CDDD. Adjustable shoulder straps. Hook-eye back closure. Nylon/spandex. Imported.","https://images.neimanmarcus.com/ca/2/product_assets/I/1/Q/Q/T/NMI1QQT_mu.jpg,https://images.neimanmarcus.com/ca/2/product_assets/I/1/Q/Q/T/NMI1QQT_au.jpg",Net Effect Contour Bra,prod219400046,"{'sku185050198': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050211': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050213': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050216': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050219': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050251': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050275': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050276': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050277': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050278': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050279': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050280': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050281': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050282': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050283': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185050284': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060244': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060245': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060309': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060314': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060315': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060332': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060354': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060355': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060357': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060358': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}, 'sku185060361': {'price': '36.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ROSEDUST', 'size': '38C EU (38C US)'}}",https://www.neimanmarcus.com/p/wacoal-net-effect-contour-bra-prod219400046
Eileen Fisher,"Eileen Fisher pants in signature washable stretch crepe, offering elegant day-to-night texture with remarkable fit memory. Approx. 26.5"" inseam. Mid rise. Flat front legs. Fitted through skinny legs. Pull-on style. Viscose/nylon/spandex. Machine wash. Made in USA of imported material. Model is 5'10""/177cm and wearing size S.","https://images.neimanmarcus.com/ca/1/product_assets/T/1/2/Z/L/NMT12ZL_au.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/1/2/Z/L/NMT12ZL_eu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/1/2/Z/L/NMT12ZL_mu.jpg",Washable Stretch Crepe Ankle Pants,prod233880075,"{'sku192132375': {'price': '83.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ZINC', 'size': 'X-Small'}, 'sku192132377': {'price': '83.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ZINC', 'size': 'X-Small'}, 'sku192132385': {'price': '83.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ZINC', 'size': 'X-Small'}, 'sku192132386': {'price': '83.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ZINC', 'size': 'X-Small'}, 'sku192132389': {'price': '83.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ZINC', 'size': 'X-Small'}, 'sku192132390': {'price': '83.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ZINC', 'size': 'X-Small'}}",https://www.neimanmarcus.com/p/eileen-fisher-washable-stretch-crepe-ankle-pants-prod233880075
Eileen Fisher,"Eileen Fisher long cardigan in a soft knit with finely spun threads of steel for texture and shape. Approx. 31.5""L from shoulder to hem. Open front. Long sleeves. Patch pockets at hips. Relaxed silhouette. Hem hits below thighs. Tencel® lyocell/metal. Hand wash. Imported.","https://images.neimanmarcus.com/ca/1/product_assets/T/1/3/2/Z/NMT132Z_au.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/1/3/2/Z/NMT132Z_mu.jpg",Petite Lyocell Metal Long Cardigan,prod233880139,"{'sku192412019': {'price': '139.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'IVORY', 'size': 'Petite X-Small'}, 'sku192412164': {'price': '139.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'IVORY', 'size': 'Petite X-Small'}, 'sku192412382': {'price': '139.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'IVORY', 'size': 'Petite X-Small'}, 'sku192412399': {'price': '139.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'IVORY', 'size': 'Petite X-Small'}}",https://www.neimanmarcus.com/p/eileen-fisher-petite-lyocell-metal-long-cardigan-prod233880139
Flora Bella,"Flora Bella ""Obsidian"" kimono coverup in shimmery sequined knit. Approx. 57""L down center back. Open front. Half sleeves. Self-tie front straps. Relaxed, easy fit. Ankle length. Viscose, exclusive of trim. Dry clean. Imported.","https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMT12XB_0M_a?&wid=456&height=570,https://images.neimanmarcus.com/ca/2/product_assets/T/1/2/X/B/NMT12XB_au.jpg,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMT12XB_80_a?&wid=456&height=570,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMT12XB_0M_m?&wid=456&height=570,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMT12XB_80_b?&wid=456&height=570,https://images.neimanmarcus.com/ca/2/product_assets/T/1/2/X/B/NMT12XB_bu.jpg,https://images.neimanmarcus.com/ca/2/product_assets/T/1/2/X/B/NMT12XB_mu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/1/2/X/B/NMT12XB_cu.jpg,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMT12XB_0M_b?&wid=456&height=570,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMT12XB_80_m?&wid=456&height=570",Obsidian Sequin Shimmer Knit Tie-Front Kimono,prod233890039,"{'sku191050320': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191050412': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191050456': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191060653': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191060657': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191060695': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191060703': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191061001': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191061007': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}, 'sku191061098': {'price': '104.80', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'EPICE', 'size': 'Medium'}}",https://www.neimanmarcus.com/p/flora-bella-obsidian-sequin-shimmer-knit-tie-front-kimono-prod233890039
Giuseppe Zanotti,Giuseppe Zanotti men's low-top sneaker in suede and smooth leather. Golden hardware. Round toe. Lace-up front. Metal logo detail at tongue. Signature dual side zips. Pull tab and logo hardware at heel. Ridged rubber outsole. Made in Italy.,"https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMN5NRP_01_m?&wid=456&height=570,https://images.neimanmarcus.com/ca/8/product_assets/N/5/N/R/P/NMN5NRP_mu.jpg,https://images.neimanmarcus.com/ca/7/product_assets/N/5/N/R/P/NMN5NRP_bu.jpg,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMN5NRP_60_m?&wid=456&height=570,https://images.neimanmarcus.com/ca/7/product_assets/N/5/N/R/P/NMN5NRP_au.jpg",Men's Suede & Leather Low-Top Sneakers,prod214300253,"{'sku181531052': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531053': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531054': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531055': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531056': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531057': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531058': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531059': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531060': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531061': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531062': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531063': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531064': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531065': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531066': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531067': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531068': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531069': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531070': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}, 'sku181531071': {'price': '494.40', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'RED', 'size': '48 EU (15D US)'}}",https://www.neimanmarcus.com/p/giuseppe-zanotti-mens-suede-leather-low-top-sneakers-prod214300253
Gauge 81,"Gauge 81 ""Tuscany"" skirt. Skirt falls straight from hip to hem. Mini length. Back zipper. Viscose/spandex. Cupro/spandex lining. Made in Macedonia. Model is 5'10""/177cm and wearing size S.","https://images.neimanmarcus.com/ca/1/product_assets/T/Z/R/A/N/NMTZRAN_au.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/R/A/N/NMTZRAN_mu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/R/A/N/NMTZRAN_bu.jpg",Tuscany Mini Skirt,prod226120419,"{'sku189971156': {'price': '149.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'FUCHSIA', 'size': 'Large'}, 'sku189971157': {'price': '149.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'FUCHSIA', 'size': 'Large'}, 'sku189971158': {'price': '149.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'FUCHSIA', 'size': 'Large'}, 'sku189971159': {'price': '149.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'FUCHSIA', 'size': 'Large'}}",https://www.neimanmarcus.com/p/gauge-81-tuscany-mini-skirt-prod226120419
Victor Glemaud,"Victor Glemaud animal-print skirt. Body-conscious silhouette. Mdi length. Flounce hem. Pull-on style. Merino wool. Imported. Model is 5'10""/177cm and wearing size S.","https://images.neimanmarcus.com/ca/2/product_assets/T/Z/Z/Z/0/NMTZZZ0_bu.jpg,https://images.neimanmarcus.com/ca/2/product_assets/T/Z/Z/Z/0/NMTZZZ0_mu.jpg,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMTZZZ0_8T_m?&wid=456&height=570,https://images.neimanmarcus.com/ca/2/product_assets/T/Z/Z/Z/0/NMTZZZ0_au.jpg,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMTZZZ0_B8_a?&wid=456&height=570,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMTZZZ0_8T_b?&wid=456&height=570,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMTZZZ0_B8_b?&wid=456&height=570,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMTZZZ0_8T_a?&wid=456&height=570,https://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMTZZZ0_B8_m?&wid=456&height=570",Animal-Print Wool Flounce Midi Skirt,prod226240117,"{'sku190040372': {'price': '247.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'BLACK/WHITE', 'size': 'Large'}, 'sku190040374': {'price': '247.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'BLACK/WHITE', 'size': 'Large'}, 'sku190040376': {'price': '247.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'BLACK/WHITE', 'size': 'Large'}, 'sku190040378': {'price': '247.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'BLACK/WHITE', 'size': 'Large'}, 'sku190760977': {'price': '247.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'BLACK/WHITE', 'size': 'Large'}, 'sku190760978': {'price': '247.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'BLACK/WHITE', 'size': 'Large'}, 'sku190760979': {'price': '247.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'BLACK/WHITE', 'size': 'Large'}, 'sku190760980': {'price': '247.00', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'BLACK/WHITE', 'size': 'Large'}}",https://www.neimanmarcus.com/p/victor-glemaud-animal-print-wool-flounce-midi-skirt-prod226240117
Sablyn,"Sablyn ""Sandi"" pleated skirt. A-line silhouette. Thigh-high slit. Maxi length. Side zipper. Silk. Made in USA. Model is 5'10""/177cm and wearing size S.","https://images.neimanmarcus.com/ca/1/product_assets/T/Z/Y/3/M/NMTZY3M_au.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/Y/3/M/NMTZY3M_bu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/Y/3/M/NMTZY3M_mu.jpg",Sandi Pleated Silk Skirt,prod226190105,"{'sku190010440': {'price': '275.60', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'WHITE', 'size': 'Large'}, 'sku190010442': {'price': '275.60', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'WHITE', 'size': 'Large'}, 'sku190010443': {'price': '275.60', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'WHITE', 'size': 'Large'}, 'sku190010445': {'price': '275.60', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'WHITE', 'size': 'Large'}}",https://www.neimanmarcus.com/p/sablyn-sandi-pleated-silk-skirt-prod226190105
Sablyn,"Sablyn ""Miranda"" slip skirt. A-line silhouette. Hem falls below the knee. Side zipper. Silk. Made in USA of imported material. Model is 5'10""/177cm and wearing size S.","https://images.neimanmarcus.com/ca/1/product_assets/T/Z/W/M/H/NMTZWMH_bu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/W/M/H/NMTZWMH_au.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/W/M/H/NMTZWMH_mu.jpg",Miranda Silk Slip Skirt,prod226170160,"{'sku190000826': {'price': '169.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'OLIVE', 'size': 'Medium'}, 'sku190000827': {'price': '169.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'OLIVE', 'size': 'Medium'}, 'sku190000828': {'price': '169.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'OLIVE', 'size': 'Medium'}, 'sku190010099': {'price': '169.60', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'OLIVE', 'size': 'Medium'}}",https://www.neimanmarcus.com/p/sablyn-miranda-silk-slip-skirt-prod226170160
Gauge 81,"Gauge 81 ""Tuscany"" satin skirt with front seams. Straight silhouette. Mini length. Back zipper. Viscose/spandex. Made in Netherlands. Model is 5'10""/177cm and wearing size S.","https://images.neimanmarcus.com/ca/2/product_assets/T/Z/U/F/Z/NMTZUFZ_au.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/U/F/Z/NMTZUFZ_eu.jpg,https://images.neimanmarcus.com/ca/2/product_assets/T/Z/U/F/Z/NMTZUFZ_mu.jpg,https://images.neimanmarcus.com/ca/2/product_assets/T/Z/U/F/Z/NMTZUFZ_bu.jpg",Tuscany Satin Mini Skirt,prod226120148,"{'sku189970497': {'price': '149.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ORANGE', 'size': 'Large'}, 'sku189970498': {'price': '149.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ORANGE', 'size': 'Large'}, 'sku189970499': {'price': '149.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ORANGE', 'size': 'Large'}, 'sku189970500': {'price': '149.50', 'old_prices': [], 'currency': '$', 'availability': True, 'color': 'ORANGE', 'size': 'Large'}}",https://www.neimanmarcus.com/p/gauge-81-tuscany-satin-mini-skirt-prod226120148
Sablyn,"Sablyn ""Carmen"" skirt with lace trim. A-line silhouette. Draped snap placket. Hem hits above the knee. Back zipper. Silk. Made in USA of imported material. Model is 5'10""/177cm and wearing size S.","https://images.neimanmarcus.com/ca/1/product_assets/T/Z/X/R/0/NMTZXR0_mu.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/X/R/0/NMTZXR0_au.jpg,https://images.neimanmarcus.com/ca/1/product_assets/T/Z/X/R/0/NMTZXR0_bu.jpg",Carmen Draped Lace Snap Skirt,prod226190086,"{'sku190010305': {'price': '232.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'BLACK', 'size': 'Large'}, 'sku190010307': {'price': '232.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'BLACK', 'size': 'Large'}, 'sku190010309': {'price': '232.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'BLACK', 'size': 'Large'}, 'sku190010311': {'price': '232.00', 'old_prices': [], 'currency': '$', 'availability': False, 'color': 'BLACK', 'size': 'Large'}}",https://www.neimanmarcus.com/p/sablyn-carmen-draped-lace-snap-skirt-prod226190086
